eigenvectors,communities,modularity,time
80 , 4 , 0.5427193140664677 , 17.731536626815796
80 , 5 , 0.7653724763299989 , 17.736830711364746
80 , 10 , 0.780117921215877 , 17.842763662338257
80 , 15 , 0.7691790529076485 , 17.91897940635681
80 , 20 , 0.7735131996894662 , 18.02881097793579
80 , 25 , 0.7522933662100268 , 18.13384485244751
80 , 30 , 0.7542043351560379 , 18.26585578918457
80 , 35 , 0.7433328751851063 , 18.27936291694641
80 , 40 , 0.7279993840435534 , 18.31754183769226
80 , 45 , 0.7265268811622303 , 18.391515493392944
80 , 50 , 0.7256629634699416 , 18.516084909439087
85 , 1 , 0.0 , 17.506147861480713
85 , 2 , 0.44919254599672287 , 17.64291501045227
85 , 3 , 0.6443954848056044 , 17.677386045455933
85 , 4 , 0.6008774366611089 , 17.686624765396118
85 , 5 , 0.6625358813208888 , 17.717068910598755
85 , 10 , 0.7817099120832666 , 17.80682396888733
85 , 15 , 0.7639100522660964 , 17.876277685165405
85 , 20 , 0.7634836358639736 , 18.000870943069458
85 , 25 , 0.753619415458297 , 18.092968940734863
85 , 30 , 0.7494099362724799 , 18.18863582611084
85 , 35 , 0.7291208602466142 , 18.285515785217285
85 , 40 , 0.7364034911686659 , 18.314595937728882
85 , 45 , 0.7313718637866783 , 18.332682847976685
85 , 50 , 0.7253745104667151 , 18.403924703598022
90 , 1 , 0.0 , 18.4588520526886
90 , 2 , 0.4484047630279253 , 18.58191442489624
90 , 3 , 0.6229501032016904 , 18.59894108772278
90 , 4 , 0.6634895469993214 , 18.656026363372803
90 , 5 , 0.7114903586265813 , 18.671606063842773
90 , 10 , 0.7524883947181541 , 18.76823616027832
90 , 15 , 0.7707664805238504 , 18.893824338912964
90 , 20 , 0.7690401956376428 , 18.98068904876709
90 , 25 , 0.7448272974327264 , 19.056796312332153
90 , 30 , 0.7556959838214112 , 19.155444860458374
90 , 35 , 0.7118774027615704 , 19.190739154815674
90 , 40 , 0.7284188540948073 , 19.282912254333496
90 , 45 , 0.6946579311176619 , 19.32033920288086
90 , 50 , 0.6874119426171137 , 19.426452159881592
95 , 1 , 0.0 , 19.55242085456848
95 , 2 , 0.4339829587623247 , 19.682878017425537
95 , 3 , 0.5449871370007858 , 19.748215675354004
95 , 4 , 0.6631692367200666 , 19.7634117603302
95 , 5 , 0.7017822462784852 , 19.789100885391235
95 , 10 , 0.7310381063283089 , 19.94142484664917
95 , 15 , 0.7675673015030653 , 20.053996801376343
95 , 20 , 0.7656343539761312 , 20.10705304145813
95 , 25 , 0.7430515077706115 , 20.23377776145935
95 , 30 , 0.7174815549741631 , 20.31467080116272
95 , 35 , 0.7133398071728966 , 20.34483575820923
95 , 40 , 0.6993132914265626 , 20.429110765457153
95 , 45 , 0.7266383916794036 , 20.449554681777954
95 , 50 , 0.6912754590669872 , 20.53632378578186
100 , 1 , 0.0 , 20.748746871948242
100 , 2 , 0.4328975143379661 , 20.894956827163696
100 , 3 , 0.5027284024505516 , 20.928831815719604
100 , 4 , 0.6380772313721961 , 20.96640682220459
100 , 5 , 0.7507144854094183 , 21.02244782447815
100 , 10 , 0.777267876188947 , 21.05299472808838
100 , 15 , 0.776369541376208 , 21.199478149414062
100 , 20 , 0.748618763940706 , 21.295308828353882
100 , 25 , 0.7495574891011089 , 21.409470081329346
100 , 30 , 0.7432291682821707 , 21.535200119018555
100 , 35 , 0.7254413119504334 , 21.55806803703308
100 , 40 , 0.7135781281875949 , 21.64078688621521
100 , 45 , 0.6837075830073619 , 21.70431685447693
100 , 50 , 0.6871833629863826 , 21.745660066604614
